Best Score, SEED, HMIN, HMAX, T, TMAX, MMAX, alpha, beta, gamma, LAMBDA
8.45878, 1070323, 3, 3, 179, 222, 613, 2.86339, 0.713828, 0.470091, 13
8.4111, 1070324, 4, 4, 540, 737, 857, 3.85385, 0.421779, 0.19861, 3
8.26112, 1070325, 3, 3, 234, 457, 1094, 1.41059, 0.782037, 0.0823504, 7
8.22915, 1070326, 4, 4, 677, 1638, 1812, 2.24113, 0.617058, 0.939173, 4
8.49793, 1070327, 3, 4, 565, 1254, 1387, 1.72709, 0.703842, 0.322851, 8
8.39514, 1070328, 4, 4, 808, 1242, 2106, 1.79564, 0.967958, 0.470102, 5
8.30357, 1070329, 3, 6, 3385, 3606, 5204, 1.33801, 0.148132, 0.458948, 10
8.1934, 1070330, 3, 7, 7411, 16828, 33193, 2.63936, 0.624308, 0.434318, 5
8.37215, 1070331, 3, 3, 246, 422, 1112, 1.41868, 0.56608, 0.277071, 16
8.46475, 1070332, 3, 4, 582, 1060, 2537, 2.92984, 0.836889, 0.98424, 8
8.26924, 1070333, 3, 7, 8322, 8564, 16266, 1.33522, 0.564841, 0.579154, 2
8.24967, 1070334, 3, 5, 1375, 3322, 6970, 3.98221, 0.631759, 0.814055, 18
8.18766, 1070335, 3, 5, 1931, 4325, 9605, 1.50844, 0.499736, 0.124573, 7
8.23148, 1070336, 4, 6, 5437, 6182, 6580, 2.39881, 0.399499, 0.0261028, 9
8.42176, 1070337, 3, 5, 1505, 4506, 4768, 2.94182, 0.0556627, 0.989946, 20
8.26199, 1070338, 5, 7, 10256, 15348, 39606, 1.93488, 0.516786, 0.114923, 15
8.32436, 1070339, 4, 4, 335, 781, 2150, 1.00951, 0.283484, 0.751884, 14
8.31264, 1070340, 3, 5, 1409, 1713, 3358, 1.6363, 0.290359, 0.122382, 11
8.25519, 1070341, 3, 4, 992, 2160, 5190, 1.41305, 0.621579, 0.918222, 11
8.29875, 1070342, 3, 4, 605, 933, 1820, 1.41066, 0.238147, 0.4887, 2
8.52609, 1070343, 3, 4, 786, 1716, 3136, 2.0058, 0.058441, 0.0526708, 2
8.26765, 1070344, 4, 6, 4425, 11575, 23057, 3.41348, 0.440975, 0.37749, 19
8.23566, 1070345, 7, 7, 4444, 11702, 21729, 1.55889, 0.773107, 0.512115, 9
8.52332, 1070346, 3, 4, 582, 1093, 2420, 3.86399, 0.362248, 0.240678, 6
8.37969, 1070347, 3, 3, 220, 580, 1433, 1.09737, 0.660476, 0.953626, 18
8.3439, 1070348, 3, 5, 1225, 3024, 3351, 2.44426, 0.0573868, 0.390085, 9
8.50682, 1070349, 3, 3, 191, 264, 629, 2.43854, 0.304864, 0.662613, 18
8.21516, 1070350, 6, 7, 8362, 10506, 22386, 1.6525, 0.483477, 0.556466, 14
8.17628, 1070351, 3, 3, 191, 246, 705, 1.5059, 0.074631, 0.692876, 3
8.14759, 1070352, 5, 6, 4263, 11223, 15030, 2.59329, 0.771588, 0.097765, 11
8.318, 1070353, 5, 6, 3950, 11386, 22943, 1.72903, 0.968148, 0.262612, 9
8.14774, 1070354, 4, 7, 7288, 17703, 24763, 3.67018, 0.644496, 0.492235, 2
8.34611, 1070355, 6, 6, 3332, 8917, 24380, 2.02399, 0.73501, 0.0286992, 20
8.18705, 1070356, 7, 7, 5025, 14198, 41878, 2.47028, 0.916437, 0.276603, 6
8.2829, 1070357, 4, 4, 384, 448, 756, 2.54851, 0.211877, 0.703772, 18
8.3186, 1070358, 4, 5, 2180, 3011, 6996, 1.05469, 0.787526, 0.595895, 2
8.43391, 1070359, 6, 6, 1592, 2126, 3050, 3.8091, 0.39568, 0.431039, 16
8.27806, 1070360, 5, 6, 3219, 3679, 5349, 1.17479, 0.827546, 0.511512, 12
8.38217, 1070361, 3, 4, 531, 919, 2505, 1.70097, 0.567968, 0.923339, 12
8.29609, 1070362, 5, 6, 2553, 2774, 7082, 1.74869, 0.538844, 0.0887919, 4
8.18499, 1070363, 5, 7, 8252, 22979, 25486, 1.7147, 0.40496, 0.895835, 2
8.47596, 1070364, 6, 6, 2246, 2879, 3466, 1.27546, 0.015483, 0.983404, 11
8.22841, 1070365, 6, 6, 2274, 5288, 13619, 2.00256, 0.102557, 0.756051, 19
8.29719, 1070366, 7, 7, 3890, 4663, 7477, 1.47773, 0.0887975, 0.475894, 10
8.34524, 1070367, 3, 3, 146, 381, 845, 3.67157, 0.117921, 0.577559, 4
8.22576, 1070368, 3, 7, 14062, 27065, 45860, 1.55754, 0.58045, 0.729883, 15
8.26547, 1070369, 6, 7, 8565, 16070, 35854, 3.57367, 0.0232692, 0.747421, 18
8.20583, 1070370, 6, 7, 6423, 8734, 13311, 1.71686, 0.337349, 0.794718, 12
8.18665, 1070371, 3, 6, 4384, 8199, 23301, 3.63776, 0.12213, 0.00283171, 14
8.25816, 1070372, 4, 5, 1750, 3255, 5875, 3.43599, 0.80562, 0.561733, 2
8.3141, 1070373, 5, 6, 2679, 4871, 12455, 2.25621, 0.146293, 0.228435, 18
8.30534, 1070374, 3, 7, 10734, 26680, 66677, 2.43699, 0.318722, 0.568731, 9
8.54489, 1070375, 3, 3, 161, 207, 518, 1.66831, 0.448466, 0.152409, 10
8.1371, 1070376, 6, 7, 10868, 19704, 54730, 3.34593, 0.277876, 0.641619, 7
8.32841, 1070377, 5, 5, 1935, 3314, 8695, 3.67145, 0.741983, 0.045312, 3
8.23351, 1070378, 6, 7, 6115, 10457, 23169, 3.43774, 0.362382, 0.885554, 10
8.2911, 1070379, 3, 4, 612, 1829, 3851, 2.84539, 0.290026, 0.131739, 13
8.25533, 1070380, 5, 7, 4872, 13329, 33840, 3.93447, 0.45513, 0.460253, 11
8.28956, 1070381, 3, 7, 7224, 8409, 19910, 3.26223, 0.524335, 0.0399963, 19
8.29625, 1070382, 3, 6, 5499, 6223, 12118, 2.53312, 0.459777, 0.672662, 13
8.47642, 1070383, 3, 5, 1462, 3142, 4896, 2.00113, 0.680064, 0.400363, 4
8.27648, 1070384, 6, 7, 6949, 16653, 33193, 3.08216, 0.917184, 0.663846, 15
8.12926, 1070385, 3, 3, 114, 272, 337, 2.00916, 0.97778, 0.409203, 12
8.23596, 1070386, 4, 7, 11222, 20758, 44503, 3.24469, 0.295296, 0.407064, 17
8.36883, 1070387, 3, 5, 1069, 1532, 4591, 1.08272, 0.512747, 0.972304, 12
8.32358, 1070388, 4, 4, 296, 580, 1192, 2.10297, 0.177129, 0.504573, 20
8.44807, 1070389, 3, 3, 193, 285, 668, 1.2368, 0.84096, 0.191753, 16
8.15263, 1070390, 6, 6, 2972, 8076, 16073, 3.42742, 0.377805, 0.362079, 20
8.25663, 1070391, 3, 7, 13561, 22098, 55958, 2.56506, 0.5504, 0.873711, 5
8.22293, 1070392, 3, 7, 12570, 23748, 62006, 3.63054, 0.733743, 0.578992, 16
8.17068, 1070393, 3, 6, 6245, 17079, 21687, 1.0405, 0.690662, 0.72242, 2
8.26731, 1070394, 4, 6, 4220, 10914, 24351, 2.90372, 0.402378, 0.796204, 16
8.47316, 1070395, 3, 3, 173, 305, 691, 3.8363, 0.016752, 0.576061, 18
8.25154, 1070396, 4, 7, 7926, 15822, 22818, 3.73983, 0.559059, 0.667022, 12
8.29297, 1070397, 3, 7, 6061, 14137, 24783, 2.25415, 0.640636, 0.649309, 14
8.29044, 1070398, 3, 7, 5753, 8868, 23015, 1.45869, 0.31611, 0.375842, 11
8.30592, 1070399, 4, 5, 1985, 5736, 10727, 3.43225, 0.225563, 0.583846, 20
8.34702, 1070400, 7, 7, 2964, 6505, 8904, 3.08922, 0.197839, 0.536502, 13
8.35343, 1070401, 4, 5, 2399, 3907, 8819, 2.50307, 0.946123, 0.290595, 16
8.36323, 1070402, 4, 6, 2774, 2804, 6618, 2.73391, 0.648333, 0.14724, 3
8.24353, 1070403, 5, 6, 3005, 6381, 13018, 2.24147, 0.193008, 0.531706, 4
8.381, 1070404, 6, 6, 2775, 3199, 8286, 2.33025, 0.338169, 0.717526, 16
8.26701, 1070405, 4, 7, 12202, 13933, 17318, 2.27609, 0.00286616, 0.234442, 4
8.27336, 1070406, 5, 7, 7654, 17921, 35546, 1.90182, 0.262473, 0.497873, 7
8.38514, 1070407, 5, 5, 1214, 1374, 1796, 3.38908, 0.100933, 0.877756, 6
8.35594, 1070408, 4, 4, 660, 1350, 1732, 3.44204, 0.822967, 0.92887, 14
8.20912, 1070409, 3, 6, 5095, 10298, 22932, 3.11079, 0.259222, 0.103486, 5
8.46153, 1070410, 3, 4, 503, 1444, 1846, 2.23009, 0.465734, 0.59344, 5
8.28194, 1070411, 3, 7, 13105, 35414, 46929, 1.76627, 0.910199, 0.48579, 14
8.27504, 1070412, 7, 7, 3170, 8675, 22719, 2.19351, 0.0930768, 0.216805, 15
8.54009, 1070413, 3, 4, 606, 696, 1907, 3.3601, 0.612569, 0.868614, 6
8.25061, 1070414, 4, 6, 6184, 12828, 36365, 1.32541, 0.330459, 0.457413, 17
8.40737, 1070415, 5, 5, 1719, 1959, 4134, 2.27889, 0.769521, 0.619223, 9
8.37563, 1070416, 4, 5, 1498, 2513, 4316, 2.81008, 0.517472, 0.786197, 11
8.14759, 1070417, 3, 6, 5308, 10440, 24381, 3.72329, 0.486026, 0.598569, 11
8.1716, 1070418, 4, 4, 631, 1024, 2932, 3.25933, 0.0852409, 0.553036, 17
8.27612, 1070419, 3, 6, 6758, 12622, 29184, 1.83521, 0.0597574, 0.00846628, 7
8.21651, 1070420, 4, 4, 538, 1122, 2380, 1.79089, 0.0761393, 0.447106, 19
8.28591, 1070421, 6, 7, 10486, 22285, 61180, 1.59057, 0.144342, 0.627598, 18
8.24805, 1070422, 6, 6, 3438, 6723, 16775, 2.76456, 0.0982177, 0.246521, 15
8.14247, 1070423, 7, 7, 6439, 17330, 45135, 3.07325, 0.129384, 0.118658, 16
8.39036, 1070424, 3, 5, 2458, 4490, 6712, 2.59849, 0.21837, 0.358024, 12
8.15045, 1070425, 3, 5, 2565, 3823, 6182, 3.84988, 0.800908, 0.400505, 20
8.4348, 1070426, 3, 4, 1075, 3207, 6169, 2.81731, 0.327786, 0.214756, 18
8.16492, 1070427, 5, 7, 4772, 8529, 15285, 2.96661, 0.95695, 0.578232, 17
8.31158, 1070428, 6, 6, 2831, 7368, 12105, 1.61362, 0.849881, 0.690051, 19
8.27297, 1070429, 3, 6, 6064, 13302, 19793, 3.30541, 0.900996, 0.550453, 21
8.33077, 1070430, 3, 4, 687, 1498, 3410, 1.16751, 0.670516, 0.0802448, 3
8.20734, 1070431, 7, 7, 5338, 10024, 28460, 1.54463, 0.0907065, 0.0210132, 13
8.34336, 1070432, 3, 5, 1511, 4398, 10631, 2.57075, 0.0728513, 0.205452, 3
8.34504, 1070433, 4, 5, 2732, 5996, 9494, 2.49348, 0.252861, 0.93467, 20
8.30179, 1070434, 7, 7, 5424, 8301, 21274, 2.83667, 0.119271, 0.752474, 11
8.3631, 1070435, 4, 5, 1067, 2566, 5751, 3.30695, 0.620889, 0.325642, 21
8.21837, 1070436, 5, 7, 6395, 18885, 36969, 1.80775, 0.271677, 0.628198, 3
8.17079, 1070437, 5, 7, 9268, 19068, 52351, 3.61963, 0.720192, 0.915888, 5
8.40371, 1070438, 3, 3, 178, 479, 559, 3.39352, 0.423846, 0.543985, 3
8.13711, 1070439, 6, 7, 4358, 9794, 28319, 3.02831, 0.120613, 0.926564, 10
8.42494, 1070440, 4, 4, 443, 668, 1225, 3.02017, 0.930107, 0.417348, 21
8.26922, 1070441, 4, 6, 4437, 10787, 21440, 1.04413, 0.544149, 0.409366, 3
8.24748, 1070442, 5, 6, 4156, 12393, 32322, 1.05037, 0.966156, 0.29916, 2
8.33319, 1070443, 4, 5, 1344, 3198, 3693, 1.0703, 0.129604, 0.212121, 3
8.29345, 1070444, 3, 5, 1433, 4038, 10087, 1.17211, 0.698921, 0.855979, 10
8.24353, 1070445, 3, 5, 1661, 2451, 4696, 1.32266, 0.717036, 0.0220197, 3
8.29508, 1070446, 5, 6, 4544, 6365, 12082, 3.11967, 0.119055, 0.914971, 21
8.34783, 1070447, 3, 5, 2457, 3175, 4617, 2.19463, 0.696092, 0.171134, 3
8.24036, 1070448, 3, 4, 733, 1904, 2206, 1.44893, 0.535297, 0.427457, 3
8.3156, 1070449, 4, 5, 2424, 2843, 6976, 1.38172, 0.396441, 0.0450528, 8
8.22585, 1070450, 6, 7, 7575, 20168, 59879, 3.28615, 0.363664, 0.662701, 21
8.26686, 1070451, 5, 7, 9217, 15847, 32812, 3.45437, 0.65181, 0.127591, 17
8.35202, 1070452, 4, 4, 353, 953, 1299, 3.94421, 0.356133, 0.539726, 3
8.42646, 1070453, 4, 5, 2208, 2339, 4595, 2.98179, 0.171609, 0.481197, 6
8.15887, 1070454, 4, 7, 12780, 17267, 24062, 2.21868, 0.483584, 0.56311, 4
8.23311, 1070455, 5, 7, 8799, 15164, 29842, 1.59843, 0.0711632, 0.132001, 8
8.38895, 1070456, 3, 3, 195, 303, 820, 3.45598, 0.428338, 0.246083, 6
8.25393, 1070457, 3, 7, 11883, 25159, 41784, 1.75594, 0.121413, 0.742922, 7
8.34381, 1070458, 3, 5, 2502, 4323, 12400, 1.98231, 0.642032, 0.776126, 20
8.20153, 1070459, 4, 5, 1924, 5308, 14084, 1.84641, 0.189093, 0.119002, 4
8.17438, 1070460, 3, 6, 3593, 8957, 26804, 1.37045, 0.52674, 0.321811, 12
8.21386, 1070461, 4, 7, 9783, 29106, 36594, 1.87318, 0.00378531, 0.764749, 18
8.1523, 1070462, 3, 5, 1642, 2587, 4193, 3.34126, 0.546476, 0.562797, 8
8.28071, 1070463, 4, 6, 2496, 6124, 15877, 1.61168, 0.511531, 0.197628, 13
8.23587, 1070464, 5, 5, 1719, 2238, 3353, 2.85589, 0.437492, 0.698452, 8
8.46402, 1070465, 4, 4, 799, 955, 1807, 1.37508, 0.361144, 0.98506, 3
8.09699, 1070466, 4, 6, 5722, 7711, 16368, 2.12886, 0.28658, 0.873158, 16
8.30404, 1070467, 3, 6, 3951, 7371, 14948, 3.99612, 0.137032, 0.621332, 11
8.22294, 1070468, 5, 7, 4998, 7096, 14304, 1.95505, 0.489576, 0.387928, 18
8.36993, 1070469, 4, 5, 980, 1228, 1662, 3.61406, 0.330918, 0.757793, 5
8.35512, 1070470, 6, 7, 3860, 5267, 7328, 2.38156, 0.985145, 0.144743, 15
8.20583, 1070471, 4, 4, 650, 1198, 2967, 1.41473, 0.314, 0.345787, 12
8.36113, 1070472, 3, 3, 160, 495, 962, 3.17727, 0.841802, 0.548433, 3
8.37152, 1070473, 5, 6, 5213, 12002, 28065, 2.637, 0.92671, 0.323954, 9
8.20679, 1070474, 4, 7, 5669, 9588, 25904, 1.36096, 0.446301, 0.800351, 5
8.20593, 1070475, 6, 7, 9415, 26239, 55511, 2.44337, 0.132452, 0.0699604, 3
8.33352, 1070476, 4, 4, 537, 1556, 1965, 3.53038, 0.447644, 0.903626, 17
8.21039, 1070477, 6, 6, 3809, 10316, 27825, 2.96388, 0.638291, 0.947343, 3
8.14117, 1070478, 3, 5, 2554, 6067, 11234, 3.10639, 0.0829233, 0.842651, 15
8.26919, 1070479, 5, 5, 1133, 2363, 3197, 3.42717, 0.316423, 0.318595, 4
8.13165, 1070480, 5, 7, 4983, 12053, 17445, 1.00817, 0.906117, 0.651222, 13
8.20267, 1070481, 6, 7, 11202, 18092, 25678, 1.12507, 0.0394321, 0.069216, 14
8.35011, 1070482, 3, 3, 137, 299, 893, 3.42914, 0.312093, 0.195982, 21
8.42075, 1070483, 5, 6, 3222, 4843, 9996, 2.14694, 0.16768, 0.935298, 20
8.29715, 1070484, 4, 7, 9818, 20046, 52161, 3.15822, 0.121486, 0.403083, 8
8.18397, 1070485, 3, 7, 7273, 20445, 25260, 1.80169, 0.797741, 0.407683, 5
8.26798, 1070486, 3, 3, 225, 463, 621, 2.68496, 0.968983, 0.533305, 3
8.23053, 1070487, 3, 6, 6624, 14724, 20229, 2.18549, 0.658168, 0.0730753, 13
8.39367, 1070488, 3, 6, 4215, 5876, 7616, 2.7041, 0.662557, 0.960865, 4
8.29451, 1070489, 4, 6, 6260, 18161, 28089, 1.10869, 0.790092, 0.83739, 7
8.28759, 1070490, 3, 3, 253, 411, 739, 1.82339, 0.101577, 0.353347, 8
8.39785, 1070491, 6, 6, 1348, 1885, 3207, 3.18062, 0.30511, 0.911077, 16
8.20177, 1070492, 4, 6, 5251, 15103, 24038, 2.77076, 0.861566, 0.187559, 7
8.33615, 1070493, 7, 7, 4459, 8988, 16675, 3.78555, 0.53873, 0.653753, 12
8.2747, 1070494, 3, 5, 2381, 5648, 6005, 1.23549, 0.429876, 0.911655, 16
8.33396, 1070495, 4, 4, 351, 768, 1966, 1.60261, 0.649332, 0.954212, 16
8.32435, 1070496, 6, 6, 2630, 7675, 14630, 1.05525, 0.799491, 0.5821, 16
8.33743, 1070497, 5, 7, 5861, 7637, 12125, 2.07012, 0.0951221, 0.217637, 2
8.32338, 1070498, 4, 4, 745, 1107, 1883, 3.56998, 0.7918, 0.871488, 2
8.43356, 1070499, 3, 4, 618, 1174, 2501, 3.06302, 0.599792, 0.0571125, 4
8.52297, 1070500, 4, 5, 1329, 1867, 2086, 2.51743, 0.446876, 0.803237, 6
8.2833, 1070501, 3, 7, 10003, 29167, 75958, 1.24483, 0.937694, 0.0062285, 18
8.23771, 1070502, 5, 6, 5646, 16692, 34944, 2.22378, 0.563081, 0.32777, 16
8.28121, 1070503, 6, 6, 3068, 4857, 11578, 3.1531, 0.0659454, 0.0393382, 9
8.3679, 1070504, 3, 5, 1118, 1496, 3203, 2.11725, 0.550382, 0.399557, 9
8.18694, 1070505, 3, 6, 6676, 9806, 12398, 1.80288, 0.714224, 0.502011, 9
8.43471, 1070506, 4, 4, 553, 1486, 3347, 1.9142, 0.981904, 0.969509, 11
8.23683, 1070507, 3, 7, 12722, 15856, 44639, 1.77892, 0.302674, 0.846923, 12
8.32892, 1070508, 4, 6, 3879, 11195, 25671, 1.58545, 0.285712, 0.0478157, 14
8.42002, 1070509, 3, 5, 1337, 2397, 6721, 3.56253, 0.151791, 0.483881, 21
8.31346, 1070510, 5, 6, 5366, 6317, 17774, 2.50712, 0.980191, 0.38627, 10
8.41935, 1070511, 4, 4, 743, 1885, 3401, 1.64522, 0.381833, 0.030862, 20
8.37329, 1070512, 4, 6, 3416, 3835, 6059, 3.84969, 0.961527, 0.527926, 12
8.51433, 1070513, 3, 4, 427, 680, 779, 1.58042, 0.213967, 0.502775, 20
8.27815, 1070514, 5, 5, 1174, 2080, 4566, 1.42651, 0.345646, 0.678355, 14
8.50224, 1070515, 3, 5, 2390, 4109, 10543, 1.92657, 0.0642532, 0.00817845, 2
8.26837, 1070516, 5, 7, 8831, 25109, 47844, 3.90376, 0.608713, 0.0800812, 11
8.28143, 1070517, 3, 5, 1960, 2526, 5891, 1.77601, 0.00350492, 0.273266, 20
8.34077, 1070518, 4, 4, 812, 1170, 1450, 3.91543, 0.875914, 0.117215, 21
8.34644, 1070519, 6, 6, 2568, 5871, 10549, 3.7756, 0.735029, 0.908892, 13
8.29065, 1070520, 4, 5, 2203, 4298, 9374, 2.33817, 0.904001, 0.136399, 2
8.15782, 1070521, 6, 7, 10589, 13973, 17520, 3.0167, 0.499148, 0.34685, 9
8.42322, 1070522, 3, 3, 219, 572, 1552, 1.5339, 0.261243, 0.232929, 4
